Date,Serie,Phase,Valeur,Borne_Basse,Borne_Haute
2011-05-20,Réel,Historique,44046598.01,,
2011-05-27,Réel,Historique,45293457.04,,
2011-06-03,Réel,Historique,48771994.18,,
2011-06-10,Réel,Historique,47669734.66,,
2011-06-17,Réel,Historique,47447561.77,,
2011-06-24,Réel,Historique,45884094.58,,
2011-07-01,Réel,Historique,47578519.5,,
2011-07-08,Réel,Historique,47859263.78,,
2011-07-15,Réel,Historique,45515929.92,,
2011-07-22,Réel,Historique,45274411.39,,
2011-07-29,Réel,Historique,43683274.28,,
2011-08-05,Réel,Historique,48015466.97,,
2011-08-12,Réel,Historique,46249569.21,,
2011-08-19,Réel,Historique,46917347.62,,
2011-08-26,Réel,Historique,47416948.45,,
2011-09-02,Réel,Historique,45376623.27,,
2011-09-09,Réel,Historique,46763227.53,,
2011-09-16,Réel,Historique,43793960.08,,
2011-09-23,Réel,Historique,42718096.73,,
2011-09-30,Réel,Historique,42195830.81,,
2011-10-07,Réel,Historique,47211688.36,,
2011-10-14,Réel,Historique,44374820.3,,
2011-10-21,Réel,Historique,45818953.44,,
2011-10-28,Réel,Historique,45855821.05,,
2011-11-04,Réel,Historique,48655544.3,,
2011-11-11,Réel,Historique,48474224.75,,
2011-11-18,Réel,Historique,46438980.56,,
2011-11-25,Réel,Historique,66593605.26,,
2011-12-02,Réel,Historique,49390556.49,,
2011-12-09,Réel,Historique,55561147.7,,
2011-12-16,Réel,Historique,60085695.94,,
2011-12-23,Réel,Historique,76998241.31,,
2011-12-30,Réel,Historique,46042461.04,,
2012-01-06,Réel,Historique,44955421.95,,
2012-01-13,Réel,Historique,42023078.48,,
2012-01-20,Réel,Historique,42080996.56,,
2012-01-27,Réel,Historique,39834974.67,,
2012-02-03,Réel,Historique,46085608.09,,
2012-02-10,Réel,Historique,50009407.92,,
2012-02-17,Réel,Historique,50197056.96,,
2012-02-24,Réel,Historique,45771506.57,,
2012-03-02,Réel,Historique,46861034.97,,
2012-03-09,Réel,Historique,47480454.11,,
2012-03-16,Réel,Historique,46901504.94,,
2012-03-23,Réel,Historique,44993794.45,,
2012-03-30,Réel,Historique,45272862.02,,
2012-04-06,Réel,Historique,53502315.87,,
2012-04-13,Réel,Historique,46629261.41,,
2012-04-20,Réel,Historique,45072529.78,,
2012-04-27,Réel,Historique,43716798.89,,
2012-05-04,Réel,Historique,47124197.93,,
2012-05-11,Réel,Historique,46925878.99,,
2012-05-18,Réel,Historique,46823939.22,,
2012-05-25,Réel,Historique,47892463.31,,
2012-06-01,Réel,Historique,48281649.72,,
2012-06-08,Réel,Historique,49651171.78,,
2012-06-15,Réel,Historique,48412110.7,,
2012-06-22,Réel,Historique,47668284.97,,
2012-06-29,Réel,Historique,46597112.12,,
2012-07-06,Réel,Historique,51253021.88,,
2012-07-13,Réel,Historique,46099732.1,,
2012-07-20,Réel,Historique,46059543.45,,
2012-07-27,Réel,Historique,44097154.97,,
2012-08-03,Réel,Historique,47485899.56,,
2012-08-10,Réel,Historique,47403451.04,,
2012-08-17,Réel,Historique,47354452.05,,
2012-08-24,Réel,Historique,47447323.6,,
2012-08-31,Réel,Historique,47159639.43,,
2012-09-07,Réel,Historique,48330059.31,,
2012-09-14,Réel,Historique,44226038.65,,
2012-09-21,Réel,Historique,44354547.11,,
2012-09-28,Réel,Historique,43734899.4,,
2012-10-05,Réel,Historique,47566639.31,,
2012-10-12,Réel,Historique,46128514.25,,
2012-10-19,Réel,Historique,45122410.57,,
2012-10-26,Réel,Historique,45544116.29,,
2012-05-04,Prévision,Test,48546750.966666766,45650173.566434436,51443328.366899095
2012-05-11,Prévision,Test,47096450.20372589,44192191.564747475,50000708.8427043
2012-05-18,Prévision,Test,45721227.109286815,42809307.49353074,48633146.72504289
2012-05-25,Prévision,Test,46995322.300536335,44075761.81046776,49914882.79060491
2012-06-01,Prévision,Test,50451508.46010685,47524327.04076945,53378689.87944425
2012-06-08,Prévision,Test,49324563.36182132,46389780.802881226,52259345.92076142
2012-06-15,Prévision,Test,49102835.41709189,46160471.354844645,52045199.47933914
2012-06-22,Prévision,Test,47551003.820521556,44601077.73986301,50500929.9011801
2012-06-29,Prévision,Test,49256980.68157268,46299511.91793457,52214449.4452108
2012-07-06,Prévision,Test,49511687.63511738,46546695.37636844,52476679.89386632
2012-07-13,Prévision,Test,47183052.407992005,44210555.69630544,50155549.11967857
2012-07-20,Prévision,Test,46919409.10854762,43939426.842235595,49899391.374859646
2012-07-27,Prévision,Test,45355530.91507588,42368081.8503919,48342979.979759865
2012-08-03,Prévision,Test,49670805.178552456,46675907.93146222,52665702.42564269
2012-08-10,Prévision,Test,47906145.75015314,44903818.79807471,50908472.70223157
2012-08-17,Prévision,Test,48572224.99602477,45562486.67953861,51581963.31251094
2012-08-24,Prévision,Test,49038669.796509996,46021538.32103965,52055801.271980345
2012-08-31,Prévision,Test,47065552.194233455,44041045.631697446,50090058.75676946
2012-09-07,Prévision,Test,48392772.28970755,45360908.580143176,51424635.99927192
2012-09-14,Prévision,Test,45433032.28702738,42393829.240186945,48472235.33386782
2012-09-21,Prévision,Test,44344715.03037843,41298190.327298604,47391239.73345826
2012-09-28,Prévision,Test,43850680.94181,40796852.13635481,46904509.74726518
2012-10-05,Prévision,Test,48821489.38473809,45760373.90511618,51882604.86436
2012-10-12,Prévision,Test,46003430.071887694,42935045.222144306,49071814.92163108
2012-10-19,Prévision,Test,47416487.55028126,44340850.511765555,50492124.58879696
2012-10-26,Prévision,Test,47463305.269218095,44380433.10202635,50546177.43640984
2012-11-02,Prévision,Futur,49463909.37833536,46872440.904972285,52055377.85169843
2012-11-09,Prévision,Futur,49293690.634031795,46693292.85886464,51894088.40919895
2012-11-16,Prévision,Futur,47281162.3791206,44671865.85903058,49890458.899210624
2012-11-23,Prévision,Futur,67437854.32652073,64819689.30681443,70056019.34622702
2012-11-30,Prévision,Futur,50269881.340734534,47642877.76040322,52896884.921065845
2012-12-07,Prévision,Futur,56428947.33562539,53793134.832480766,59064759.83877001
2012-12-14,Prévision,Futur,60985658.72078786,58341066.636478126,63630250.805097595
2012-12-21,Prévision,Futur,77936602.49269748,75283259.87760721,80589945.10778774
2012-12-28,Prévision,Futur,46794514.29452188,44132449.91255917,49456578.6764846
2013-01-04,Prévision,Futur,45780080.239308625,43109322.572582714,48450837.90603454
2013-01-11,Prévision,Futur,42866540.93352917,40187118.186921954,45545963.68013638
2013-01-18,Prévision,Futur,42922814.83297226,40234754.93860657,45610874.72733795
2013-01-25,Prévision,Futur,40702868.32106744,38006198.942675136,43399537.69945974
2013-02-01,Prévision,Futur,46972282.88045075,44267031.41764369,49677534.34325781
2013-02-08,Prévision,Futur,50836025.0214929,48122218.613939196,53549831.4290466
2013-02-15,Prévision,Futur,51048622.58688725,48326288.11839569,53770957.0553788
2013-02-22,Prévision,Futur,46619705.89803989,43888870.0005545,49350541.79552528
2013-03-01,Prévision,Futur,47747146.28231477,45007835.339823484,50486457.224806055
2013-03-08,Prévision,Futur,48303367.58352077,45555607.7358794,51051127.43116214
2013-03-15,Prévision,Futur,47741581.91320716,44985399.05988125,50497764.76653307
2013-03-22,Prévision,Futur,45832507.17644642,43067926.98017332,48597087.37271953
2013-03-29,Prévision,Futur,46120670.12452215,43347718.01489547,48893622.23414883
2013-04-05,Prévision,Futur,54223011.778274454,51441712.95525297,57004310.60129594
2013-04-12,Prévision,Futur,47477397.36370277,44687776.801045835,50267017.9263597
2013-04-19,Prévision,Futur,46031745.997584835,43233828.446216315,48829663.548953354
2013-04-26,Prévision,Futur,44596492.36834679,41790302.35964929,47402682.37704428
